M,K,n_seeds,instances,beam_width,greedy_pre_mean,greedy_pre_std,greedy_pp_mean,greedy_pp_std,beam_pre_mean,beam_pre_std,beam_pp_mean,beam_pp_std,port_pp_mean,port_pp_std,d_raw,d_final,d_port,recovery_pct,port_pp_seed0,port_pp_seed1,port_pp_seed2
50,1,3,30,5,-19.026323405795623,4.063463411328143,-44.32504130045572,0.8095817884515008,-30.89815378316244,2.619243509670644,-45.217062327067055,0.5499844140214811,-48.04414906819661,0.10485747070176281,-11.871830377366816,-0.8920210266113315,-3.719107767740887,46.92660879811878,-48.050,-47.936,-48.146
50,2,3,30,5,-70.33518811035157,1.8627025197561824,-87.0754111328125,0.3684413618777132,-78.54212611897786,1.269276433525707,-89.93838663736979,0.7128996168837665,-91.56208028835721,1.0976478909328917,-8.206938008626295,-2.8629755045572836,-4.486669155544703,49.02526087982677,-92.001,-90.313,-92.372
50,3,3,30,5,-105.61863932291668,3.653179256874219,-114.56852627224391,2.788634702109369,-111.71221686469183,2.8849277745989497,-118.58523461235893,2.5642496192303126,-119.31693241373698,2.551417003998583,-6.093577541775147,-4.0167083401150165,-4.748406141493064,68.08552528401715,-119.474,-121.786,-116.691
50,4,3,30,5,-118.91808123779295,3.933581073558053,-128.3564767489963,5.042661378067585,-125.28526421101888,4.702915973516396,-133.48269379679363,6.279767482837743,-133.82719703165688,6.292247367230539,-6.367182973225937,-5.126217047797326,-5.470720282660579,67.46043822457011,-139.668,-127.165,-134.649
50,5,3,30,5,-122.0218167385525,1.060151265355569,-130.100114976671,0.7677807165613533,-125.83204142252605,0.5409182108549615,-133.57771448092993,0.8861800647535893,-133.91456815253363,1.1128110922508192,-3.8102246839735443,-3.477599504258933,-3.8144531758626385,47.16617995105092,-133.320,-133.225,-135.198
50,6,3,30,5,-117.23413338385687,2.593682137172849,-124.67694048224554,2.04182981654093,-119.68730753411188,2.8381326627539436,-126.86897188144258,2.1822999973360644,-126.96619013129339,2.1835604245318234,-2.453174150255009,-2.1920313991970346,-2.2892496490478464,32.960334962679724,-128.758,-124.534,-127.606
50,8,3,30,5,-94.91889751603867,0.8624040015661312,-98.02196597968207,0.6713147959166307,-95.72364969974093,1.1489423569417574,-98.68199937862819,0.6381035973482185,-98.71265766059025,0.6365031010965778,-0.8047521837022629,-0.6600333989461262,-0.6906916809081878,25.934077611596802,-98.973,-99.178,-97.987
60,1,3,30,5,-21.019983508639864,2.0841814486693107,-52.04016782294379,1.952718574732702,-32.88008470323351,2.3978048615992047,-53.85024108547635,2.298130974369264,-55.71750497097438,2.1563438309260934,-11.860101194593643,-1.8100732625325548,-3.6773371480305883,38.233496856189696,-53.271,-56.538,-57.343
60,2,3,30,5,-79.36322354465061,3.1733175667758897,-92.13429332139758,0.8593730187398831,-89.02874072943791,2.9821342354804496,-98.80774677870009,3.3246013428968375,-100.16952344428167,3.0430823522907144,-9.665517184787305,-6.673453457302514,-8.035230122884087,75.68290952717112,-100.534,-96.961,-103.014
60,3,3,30,5,-116.14503653971354,0.5432830086796122,-127.32938838704428,1.2653264831281483,-124.25641615125868,2.3944981399357554,-133.3445332370334,2.0720210221395363,-133.95502265082465,1.81610351549757,-8.111379611545132,-6.015144849989127,-6.62563426378037,72.52436012625088,-135.792,-133.912,-132.161
60,4,3,30,5,-133.05204515245225,2.9980408988122065,-143.80671158854167,2.2155650491572136,-137.1935551011827,4.0146770939302385,-147.34419693332248,3.53564409834478,-147.70859848361548,3.4897114054143956,-4.141509948730459,-3.537485344780805,-3.901886895073801,38.50895770075024,-148.891,-143.781,-150.453
60,5,3,30,5,-128.74481732855904,0.6029440365051649,-144.97235948350695,1.4780835895113746,-132.81132942030166,0.7410976665987733,-148.27380875651042,3.1356171458666853,-148.56440034993489,2.9090541055673187,-4.066512091742624,-3.3014492730034704,-3.5920408664279364,25.059322310881875,-151.538,-145.724,-148.431
60,6,3,30,5,-130.8077465108236,1.6420147882985203,-140.66474652777777,0.7012313938190243,-133.05258559841582,2.0790597964266198,-142.50244799465602,1.036798552731715,-142.62050359429253,1.0683857106035848,-2.2448390875922257,-1.8377014668782579,-1.9557570665147637,22.774059893791943,-142.332,-141.726,-143.804
60,8,3,30,5,-117.00842003885903,2.3596273066624884,-121.70858922322589,3.090585050544645,-117.35765925428602,2.4135577722700297,-121.8402850121392,3.0917598763889336,-121.95008700222438,3.132727215127308,-0.34923921542699077,-0.13169578891331923,-0.24149777899849312,7.430354136795516,-118.355,-124.093,-123.403
80,1,3,30,5,-23.638417972140843,10.59011732590943,-60.31292379082574,3.375431189201401,-34.693529825846355,10.234798931485118,-61.904703345404734,1.3799564200624035,-63.62366391669379,1.9180191857986113,-11.055111853705512,-1.5917795545789915,-3.310740125868051,30.143860447256966,-64.010,-65.319,-61.542
80,2,3,30,5,-81.1027117852105,3.202722993988167,-103.10368339708116,5.457572603213077,-89.73871789550782,3.902950151768887,-108.54532449679904,5.616083139960837,-109.90846256510417,5.519023439748642,-8.636006110297316,-5.441641099717884,-6.804779168023018,39.252839659307355,-109.718,-104.487,-115.520
80,3,3,30,5,-130.01776912434897,3.7111132301183716,-147.92915835232202,2.6789855022273112,-143.43728951009115,2.781612558700707,-157.56315387641055,2.3227888830230037,-158.5747744547526,2.3987476554378975,-13.419520385742175,-9.633995524088533,-10.64561610243058,74.92171720987609,-156.133,-160.929,-158.662
80,4,3,30,5,-153.2208551432292,4.879248040717348,-173.67492713080512,2.860320139974565,-160.64071236165367,5.1105720617147306,-178.45564567057292,2.0581230181933288,-179.2950120646159,2.3250288621806035,-7.419857218424482,-4.780718539767804,-5.620084933810773,36.27569719580239,-178.130,-177.783,-181.972
