M,e,r,r_std,instances
400,1500.0,2.625,0.857,8
400,2169.0,4.125,1.452,8
400,3137.0,5.75,2.437,8
400,4536.0,7.875,2.088,8
400,6560.0,10.0,1.732,8
400,9487.0,16.625,3.276,8
400,13719.0,31.75,5.911,8
400,19840.0,49.875,2.759,8
400,28691.0,50.5,3.317,8
400,41490.0,50.5,3.317,8
400,60000.0,50.5,3.317,8
