M,K,Emax_each,method,obj,nodes
100,1,50000.0,Multi-NearestNeighbor,328.2070266845703,76.195
100,1,50000.0,Multi-GreedyPriority,67.47374564819336,14.62
100,1,50000.0,Multi-PDR,353.2946650268555,64.74
100,2,25000.0,Multi-Random,-32.44913654403686,16.6
100,2,25000.0,Multi-NearestNeighbor,-29.044060394287104,69.26
100,2,25000.0,Multi-GreedyPriority,-42.48085205841065,16.485
100,2,25000.0,Multi-PDR,-20.975503302001943,60.395
100,3,16666.666666666668,Multi-Random,-59.13140106582641,18.06
100,3,16666.666666666668,Multi-NearestNeighbor,-129.055933404541,63.49
100,3,16666.666666666668,Multi-GreedyPriority,-82.8299531967163,17.935
100,3,16666.666666666668,Multi-PDR,-126.4771,56.275
100,4,12500.0,Multi-Random,-74.33049352149963,19.48
100,4,12500.0,Multi-NearestNeighbor,-166.083933102417,58.64
100,4,12500.0,Multi-GreedyPriority,-107.57390239257813,19.955
100,4,12500.0,Multi-PDR,-168.1426801879883,52.275
100,5,10000.0,Multi-Random,-84.38941534461974,20.49
100,5,10000.0,Multi-NearestNeighbor,-174.34566403503416,52.265
100,5,10000.0,Multi-GreedyPriority,-124.82565085601807,21.515
100,5,10000.0,Multi-PDR,-179.64099747314452,47.89
100,6,8333.333333333334,Multi-Random,-93.9765538110733,21.535
100,6,8333.333333333334,Multi-NearestNeighbor,-168.3375220092773,45.63
100,6,8333.333333333334,Multi-GreedyPriority,-132.9925768661499,22.32
100,6,8333.333333333334,Multi-PDR,-174.90642691955563,42.675
100,8,6250.0,Multi-Random,-106.00630227985381,23.205
100,8,6250.0,Multi-NearestNeighbor,-147.42674632415773,35.17
100,8,6250.0,Multi-GreedyPriority,-138.71444381866456,24.22
100,8,6250.0,Multi-PDR,-152.72717433013918,34.12
120,1,50000.0,Multi-Random,34.24777949676514,14.72
120,1,50000.0,Multi-NearestNeighbor,363.7186765991211,84.94
120,1,50000.0,Multi-GreedyPriority,66.63761446990968,15.085
120,1,50000.0,Multi-PDR,383.5457172058106,71.52
120,2,25000.0,Multi-Random,-33.59209038009644,16.79
120,2,25000.0,Multi-NearestNeighbor,-34.70429837646484,77.63
120,2,25000.0,Multi-GreedyPriority,-43.96044496154784,16.66
120,2,25000.0,Multi-PDR,-23.649124353027336,67.05
120,3,16666.666666666668,Multi-Random,-60.693511967468254,18.66
120,3,16666.666666666668,Multi-NearestNeighbor,-145.64746520385742,71.735
120,3,16666.666666666668,Multi-GreedyPriority,-87.87872675933839,18.765
120,3,16666.666666666668,Multi-PDR,-143.52497209472654,62.82
120,4,12500.0,Multi-Random,-76.9392999382019,20.2
120,4,12500.0,Multi-NearestNeighbor,-184.89530654296877,65.365
120,4,12500.0,Multi-GreedyPriority,-112.29689471435547,20.41
120,4,12500.0,Multi-PDR,-189.02960938720705,58.39
120,5,10000.0,Multi-Random,-90.71870025997161,21.76
120,5,10000.0,Multi-NearestNeighbor,-196.44448498535155,58.93
120,5,10000.0,Multi-GreedyPriority,-130.0794263458252,22.075
120,5,10000.0,Multi-PDR,-202.36699360961913,53.43
120,6,8333.333333333334,Multi-Random,-97.71652510280609,22.38
120,6,8333.333333333334,Multi-NearestNeighbor,-190.28375122070312,51.765
120,6,8333.333333333334,Multi-GreedyPriority,-142.4950254524231,23.54
120,6,8333.333333333334,Multi-PDR,-198.53229151000974,48.105
120,8,6250.0,Multi-Random,-111.88872427597045,24.57
120,8,6250.0,Multi-NearestNeighbor,-166.96918199768064,40.21
120,8,6250.0,Multi-GreedyPriority,-150.73113946990964,25.61
120,8,6250.0,Multi-PDR,-173.52704814910888,38.65
150,1,50000.0,Multi-Random,33.213512804412844,14.805
150,1,50000.0,Multi-NearestNeighbor,402.9540040527344,95.45
150,1,50000.0,Multi-GreedyPriority,63.68265041656495,15.045
150,1,50000.0,Multi-PDR,427.59931268920894,80.685
150,2,25000.0,Multi-Random,-33.68513367233276,16.96
150,2,25000.0,Multi-NearestNeighbor,-38.00557403564452,88.385
150,2,25000.0,Multi-GreedyPriority,-48.651621154785154,17.18
150,2,25000.0,Multi-PDR,-29.662355194091788,75.755
150,3,16666.666666666668,Multi-Random,-61.88512889633179,18.75
150,3,16666.666666666668,Multi-NearestNeighbor,-162.74695388183594,80.795
150,3,16666.666666666668,Multi-GreedyPriority,-93.83311018066406,19.26
150,3,16666.666666666668,Multi-PDR,-166.50660888061523,71.25
150,4,12500.0,Multi-Random,-79.13236570968628,20.52
150,4,12500.0,Multi-NearestNeighbor,-208.67157596435547,73.71
150,4,12500.0,Multi-GreedyPriority,-120.0476720046997,21.105
150,4,12500.0,Multi-PDR,-216.06846435546876,65.93
150,5,10000.0,Multi-Random,-92.67044651145935,22.11
150,5,10000.0,Multi-NearestNeighbor,-222.55614095764162,66.81
150,5,10000.0,Multi-GreedyPriority,-140.1407313018799,23.015
150,5,10000.0,Multi-PDR,-230.40688033447267,60.345
150,6,8333.333333333334,Multi-Random,-103.27554657020569,23.45
150,6,8333.333333333334,Multi-NearestNeighbor,-216.91316817321777,58.99
150,6,8333.333333333334,Multi-GreedyPriority,-153.27615556335448,24.555
150,6,8333.333333333334,Multi-PDR,-229.89813011169434,55.315
150,8,6250.0,Multi-Random,-116.2702520236969,25.61
150,8,6250.0,Multi-NearestNeighbor,-195.4721746383667,46.835
150,8,6250.0,Multi-GreedyPriority,-166.2998901626587,27.2
150,8,6250.0,Multi-PDR,-203.83850866394044,45.16
200,1,50000.0,Multi-Random,29.79050345687866,15.005
200,1,50000.0,Multi-NearestNeighbor,466.2781878967286,110.48
200,1,50000.0,Multi-GreedyPriority,63.36838803710938,14.96
200,1,50000.0,Multi-PDR,495.6290755432129,94.395
200,2,25000.0,Multi-Random,-37.649124273681636,17.385
200,2,25000.0,Multi-NearestNeighbor,-45.02962364501952,102.555
200,2,25000.0,Multi-GreedyPriority,-53.17849154663086,17.5
200,2,25000.0,Multi-PDR,-38.13205589599608,89.17
200,3,16666.666666666668,Multi-Random,-65.35370760803222,19.245
200,3,16666.666666666668,Multi-NearestNeighbor,-196.76175274658198,95.93
200,3,16666.666666666668,Multi-GreedyPriority,-99.3772960067749,19.74
200,3,16666.666666666668,Multi-PDR,-198.58748267822267,84.145
200,4,12500.0,Multi-Random,-86.10345174865722,21.67
200,4,12500.0,Multi-NearestNeighbor,-250.1752930480957,87.88
200,4,12500.0,Multi-GreedyPriority,-128.31339725952148,21.91
