M,a,a_inv,e_min,R2,n_points,a_over_sqrtM,e_star,Kstar_E25000,Kstar_E50000,Kstar_E100000
50,0.0003073651698364849,3253.4590712799036,-13433.907871968802,0.6553521248901485,11,4.346799917838667e-05,nan,nan,nan,nan
100,0.00046340084002214135,2157.958971227199,-11757.082475203557,0.6986819995272211,11,4.6340084002214134e-05,nan,nan,nan,nan
200,0.0006118737937602477,1634.323957322207,-12240.567469050924,0.7057335854739564,11,4.326601087982102e-05,nan,nan,nan,nan
