Ee_vs_EMAX_over_K,Emax_each,K,M,RL_obj_greedy_nopp,SA_obj,best_final_obj,ckpt,conv,gap_pct_matched,instances,nodes,pop_mean_w,ppn,priority,uav_ppn_mean,uav_ppn_std,waoi
50000 vs 50000,50000.0,1,100,-29.91831031799316,-89.55551248747084,nan,fleet_M100_K1_split_seed42.pt,?,66.59244139529787,12,23.333333333333332,5.656286517779033,4.693936013611997,113.10747210184734,nan,nan,8318.916178385416
50000 vs 50000,50000.0,1,100,-43.02076201121012,-89.55551248747084,-47.34696124649048,fleet_M100_K1_split_seed42_DENSE.pt,intra,51.961905173365075,12,22.583333333333332,5.656286517779033,4.833082137120294,111.0490566889445,nan,nan,6802.8294677734375
12500 vs 12500,12500.0,4,100,-170.11397399902341,-235.45094859530494,-160.53761089207362,fleet_M100_K4_split_seed42_DENSE.pt,intra,27.749718141328565,12,52.833333333333336,5.656286517779033,6.111903285579608,322.8295491536458,6.174334128697713,0.638246071835359,15271.55751546224
12500 vs 12500,12500.0,4,100,-165.82917165120443,-235.45094859530494,-160.62705916447257,fleet_M100_K4_split_seed42_DENSE_CT0.pt,common_t0,29.56954616639366,12,51.833333333333336,5.656286517779033,6.105437800728775,316.26475779215497,6.134300430615743,0.6503399064143499,15043.558614095053
