M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,100000,4,25000.0,48.083,2.326,50.0,0.9617,-164.118,12
50,100000,5,20000.0,49.75,0.829,50.0,0.995,-180.013,12
50,100000,6,16666.7,49.5,0.866,50.0,0.99,-186.623,12
50,100000,7,14285.7,49.417,0.954,50.0,0.9883,-195.338,12
50,100000,8,12500.0,49.083,0.759,50.0,0.9817,-201.02,12
50,100000,9,11111.1,48.167,1.572,50.0,0.9633,-202.516,12
50,100000,10,10000.0,45.583,1.977,50.0,0.9117,-198.638,12
50,100000,11,9090.9,42.417,2.396,50.0,0.8483,-192.092,12
50,100000,12,8333.3,39.583,2.465,50.0,0.7917,-184.0,12
50,100000,13,7692.3,37.583,2.871,50.0,0.7517,-174.541,12
50,100000,14,7142.9,33.5,2.179,50.0,0.67,-158.785,12
100,100000,4,25000.0,81.333,3.399,100.0,0.8133,-266.561,12
100,100000,5,20000.0,92.083,4.609,100.0,0.9208,-303.507,12
100,100000,6,16666.7,94.333,2.896,100.0,0.9433,-335.762,12
100,100000,7,14285.7,92.75,4.437,100.0,0.9275,-355.22,12
100,100000,8,12500.0,87.083,5.299,100.0,0.8708,-360.145,12
100,100000,9,11111.1,82.0,4.983,100.0,0.82,-359.72,12
100,100000,10,10000.0,76.667,5.821,100.0,0.7667,-350.566,12
100,100000,11,9090.9,71.167,4.793,100.0,0.7117,-337.337,12
100,100000,12,8333.3,65.667,3.965,100.0,0.6567,-320.229,12
100,100000,13,7692.3,60.25,2.773,100.0,0.6025,-299.105,12
100,100000,14,7142.9,57.583,2.957,100.0,0.5758,-284.939,12
200,100000,4,25000.0,123.167,6.841,167.484,0.7354,-410.562,12
200,100000,5,20000.0,147.917,5.809,166.605,0.8878,-485.335,12
200,100000,6,16666.7,155.833,8.184,165.726,0.9403,-542.983,12
200,100000,7,14285.7,148.417,9.535,164.847,0.9003,-578.383,12
200,100000,8,12500.0,132.917,8.558,163.968,0.8106,-578.393,12
200,100000,9,11111.1,121.5,7.61,163.09,0.745,-572.89,12
200,100000,10,10000.0,111.75,8.899,162.211,0.6889,-557.317,12
200,100000,11,9090.9,105.667,10.25,161.332,0.655,-543.658,12
200,100000,12,8333.3,96.917,9.751,160.453,0.604,-511.357,12
200,100000,13,7692.3,94.083,6.626,159.574,0.5896,-486.53,12
200,100000,14,7142.9,89.583,7.005,158.695,0.5645,-461.885,12
