M,K,Ee,fill,cap_packed,J_exact,J_greedy,J_SA,greedy_gap_pct,sa_gap_pct,instances,sec
12,2,6000.0,0.8177,0,-22.2404,-21.1289,-22.0948,4.997,0.655,6,2.1
12,2,9000.0,0.9007,0,-35.8435,-33.0046,-35.8435,7.92,0.0,6,2.6
