M,K,Ee,fill,cap_packed,J_exact,J_greedy,J_SA,greedy_gap_pct,sa_gap_pct,instances,sec
16,1,8000.0,0.9826,1,-27.0919,-24.1398,-26.7496,10.897,1.264,6,2.4
16,1,12000.0,0.952,0,-35.2383,-33.0281,-34.6888,6.272,1.559,6,10.2
16,1,16000.0,0.9453,0,-37.4721,-36.552,-37.4,2.455,0.192,6,33.0
16,1,20000.0,0.8386,0,-37.9003,-36.6829,-37.8862,3.212,0.037,6,107.2
