M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,50000,1,50000.0,17.0,1.915,46.785,0.3634,-60.904,12
50,50000,2,25000.0,31.667,2.809,46.092,0.687,-107.362,12
50,50000,3,16666.7,40.167,3.508,45.398,0.8848,-138.221,12
50,50000,4,12500.0,37.083,3.427,44.705,0.8295,-152.201,12
50,50000,5,10000.0,32.333,2.285,44.012,0.7346,-148.362,12
50,50000,6,8333.3,28.667,1.434,43.319,0.6618,-138.503,12
50,50000,7,7142.9,24.917,2.396,42.626,0.5845,-125.461,12
50,50000,8,6250.0,23.083,2.139,41.933,0.5505,-113.747,12
50,50000,9,5555.6,20.167,2.544,41.239,0.489,-99.73,12
50,50000,10,5000.0,17.25,2.712,40.546,0.4254,-84.192,12
100,50000,1,50000.0,25.583,1.754,66.878,0.3825,-89.556,12
100,50000,2,25000.0,46.75,3.631,65.613,0.7125,-158.289,12
100,50000,3,16666.7,60.5,4.33,64.348,0.9402,-216.835,12
100,50000,4,12500.0,53.333,4.441,63.084,0.8454,-235.451,12
100,50000,5,10000.0,44.917,6.304,61.819,0.7266,-226.279,12
100,50000,6,8333.3,43.0,4.359,60.554,0.7101,-221.899,12
100,50000,7,7142.9,36.083,3.707,59.289,0.6086,-192.491,12
100,50000,8,6250.0,35.333,4.441,58.025,0.6089,-185.422,12
100,50000,9,5555.6,30.583,3.904,56.76,0.5388,-159.627,12
100,50000,10,5000.0,28.0,3.189,55.495,0.5045,-146.896,12
200,50000,1,50000.0,34.25,3.244,84.621,0.4047,-124.03,12
200,50000,2,25000.0,66.333,5.137,83.742,0.7921,-226.285,12
200,50000,3,16666.7,85.167,6.229,82.863,1.0278,-313.44,12
200,50000,4,12500.0,71.0,7.223,81.984,0.866,-348.387,12
200,50000,5,10000.0,63.5,8.372,81.105,0.7829,-345.31,12
200,50000,6,8333.3,55.333,7.706,80.226,0.6897,-322.423,12
200,50000,7,7142.9,52.917,5.604,79.347,0.6669,-307.343,12
200,50000,8,6250.0,48.167,4.543,78.468,0.6138,-278.37,12
200,50000,9,5555.6,46.917,3.252,77.59,0.6047,-265.1,12
200,50000,10,5000.0,44.417,5.33,76.711,0.579,-245.768,12
