M,Emax,K,n_chains,uniform_w,n,d_first,d_last,d_centroid,hop,Rg2,E_excursion,E_tour,E_hover
50,100000,3,36,1,14.694444444444445,452.6756794129539,116.46903120927105,284.03333261276464,122.18567386406943,68412.37671340043,4268.585329666687,12167.768439214546,414.42460894322244
50,100000,4,48,1,12.229166666666666,472.405374331631,130.20235587261888,313.1259878274291,129.6290251894466,58839.85099484595,4519.5579765318735,10576.443140069487,340.6895760499185
50,100000,5,60,1,9.966666666666667,518.3334450828288,137.94700288734322,313.91712280991584,142.00959725599984,57850.05446720203,4922.10335977629,9149.689689907555,278.23553203392356
50,100000,6,72,1,8.319444444444445,505.6445212346306,146.16375843505364,340.02698737911874,138.13517693423373,43986.79780684234,4888.562097522631,7196.730466393265,232.38061665904914
50,100000,8,96,1,6.135416666666667,502.9100224415615,158.55335473023368,351.6256050792561,141.62561017036168,30022.348079362488,4960.975328788464,4936.1695818293665,171.03009656121844
50,100000,10,120,1,4.583333333333333,470.2921118430853,185.0956572708122,346.5654571243301,145.51708159543222,21324.947637644986,4915.408268354232,3529.2728830421006,128.165250908918
50,100000,12,142,1,3.387323943661972,437.6364370757711,197.1133485598973,325.3105775964226,152.54528815919457,15393.92230175974,4760.623392267513,2401.819865485409,94.19094524954222
100,100000,3,36,1,23.77777777777778,417.2867702478781,82.73179240716887,311.0096598370232,78.72833407924647,51038.91261273869,3750.1392199128522,13174.137499344451,674.8244344721911
100,100000,4,48,1,21.604166666666668,431.0289221843218,89.43855140990233,319.6618630216379,83.97434098047971,50795.866354842576,3903.506051956681,12668.766545374508,615.4693272842431
100,100000,5,60,1,19.25,470.5213086140237,96.87251417724809,324.935763992767,92.94468813602786,53409.059104400585,4255.453670934538,12027.927651394979,542.9939747087087
100,100000,6,72,1,16.055555555555557,450.18729434263395,104.98734487367528,334.7983278197739,95.75612341284994,43285.6611485894,4163.8097941223195,10222.296018450446,452.9094675069218
100,100000,8,96,1,11.145833333333334,467.90672029875265,118.91430741967149,349.6286053505287,93.29051899461945,28213.497946470336,4401.157707888181,6672.145890730295,314.6840973227532
100,100000,10,120,1,7.875,465.87996460040335,130.83466508643818,336.98686317465166,94.76645511965962,20631.801542816593,4475.359722651311,4550.453996050047,221.99115758306326
100,100000,12,144,1,5.673611111111111,439.3049836906518,141.50616816563868,316.2308124044241,99.88924672140521,15441.823068927224,4356.083638922179,3204.7102986471086,159.29604460117184
200,100000,3,36,1,35.861111111111114,424.66227178136745,61.66797492491181,310.3428451450489,52.11061980638798,38512.11719625606,3647.476850297095,13455.598882625565,996.24212741581
200,100000,4,48,1,33.5,441.2928757923103,66.25757823156162,330.18963345991307,55.70424242072358,40770.922858628684,3806.6284051790403,13365.711671122195,941.2594461498984
200,100000,5,60,1,32.03333333333333,439.5655607269931,70.79256531747122,337.6074783051114,57.35313903829044,38545.38457324733,3827.6859453334832,13165.933559271974,892.2653398941817
200,100000,6,72,1,28.09722222222222,384.6034789670978,74.92495415359998,339.92706482065023,59.48147988835464,34527.869982158976,3446.463248405233,11864.310067462442,777.6580085459195
200,100000,8,96,1,18.916666666666668,436.8406440737888,83.70606067859332,330.5724207414051,59.50321026547303,24172.14228437851,3904.1002856428663,7759.067331159109,528.4659397533065
200,100000,10,120,1,13.383333333333333,408.46858900085374,92.74105395498472,312.89060482692975,62.03387896058633,17325.01449955961,3759.0723221687886,5549.6817796168225,373.5492422861438
200,100000,12,144,1,9.833333333333334,390.0958302370141,101.35280174447558,294.34423007241196,63.7909511079681,13858.63432465692,3685.864739861173,4082.3403633092,275.71787710351083
