Emax,M,K,planner,J_mean,J_std,P_bar,Ts_over_tc,Ts_over_tc_pred,mean_n_visited,throughput_margin,Trev_over_tau_e,catch_rate,empty_sorties,truncated_pct,instances,iters
3000000.0,100,6,sa,1245149.5753061178,287715.1005978873,304.82001168382754,2.5922201961699836,1.99206237662115,23.688781393947114,0.04703984963848893,0.23352834083083462,0.7284252024570761,0,6.904761904761905,12,1500
3000000.0,100,7,sa,1166365.0809345134,250898.83106172315,304.2333211640211,2.224331800121916,1.9930185403607428,20.129511034327546,0.04130913076391308,0.19393128966268722,0.757908472963125,0,4.9911920140927775,12,1500
3000000.0,100,8,sa,1112268.6406843045,222652.4616456105,303.7702600759097,1.9500419563243128,1.9937749962255678,17.16625613761259,0.03728480716573518,0.1753587663058902,0.7511589010762068,0,3.9527487505679235,12,1500
3000000.0,100,9,sa,1208802.9102815152,313975.273642469,303.47229709359607,1.7361745757717177,1.9942628066417887,14.245474680312263,0.034740222385259235,0.16860698869797172,0.7467644818219971,0,3.3607436539149087,12,1500
3000000.0,100,10,sa,1287207.8712757186,408116.1597086962,303.2793367737716,1.5638375177042751,1.9945792541899614,12.292381882531968,0.03261596917529388,0.1581579116453409,0.7584970937929042,14,3.431230008723466,12,1500
3000000.0,200,6,sa,4108763.7776314784,649062.0853953713,309.35216235708685,2.540543772906873,1.9847688540998145,27.708315550483274,0.09273533837695015,0.3853199473868754,0.6153062256436107,0,9.211553473848555,12,1500
3000000.0,200,7,sa,3861716.7723914483,670938.6806936886,308.2866533059812,2.1882725526775197,1.986468860494498,23.171977461197642,0.0818441222839737,0.33022948387375267,0.6326043000770657,0,8.67816091954023,12,1500
3000000.0,200,8,sa,4059667.7701969533,717956.7169599761,307.411609219942,1.9099124030040224,1.9878726201777763,19.464592667133036,0.07389910449055619,0.30195450502967863,0.6359848979810352,0,6.15861763402747,12,1500
3000000.0,200,9,sa,4361050.431154286,1082007.2370160748,306.72940585621933,1.7058254997900644,1.9889702938568732,16.11254835237552,0.06935059900676507,0.29674612607473605,0.6237355682056929,0,4.569420035149385,12,1500
3000000.0,200,10,sa,4991080.940426583,1241596.5857223864,306.3347785821014,1.5410659831391147,1.9896074909347579,13.351625955698076,0.06686276570662851,0.28785340721412,0.6119985766475996,4,4.429105550762151,12,1500
