M,Emax,K,n_chains,uniform_w,n,d_first,d_last,d_centroid,hop,Rg2,E_excursion,E_tour,E_hover
50,50000,2,24,1,16.041666666666668,418.0517889502157,109.44516293226098,266.3723408857431,112.6875449207226,58808.345060788444,3956.227139118575,12462.684003121778,451.58122073773006
50,50000,3,36,1,13.777777777777779,407.17563643488825,118.82112556664853,289.849803486513,119.77721011071814,58734.49626225702,3944.9757150115256,11086.05018241029,386.8046877166279
50,50000,4,48,1,9.5,428.3570152120312,127.37667413670982,319.23774056550747,119.43692485625793,35159.30930098997,4168.0026701155575,7244.143695295289,266.17453148631427
50,50000,5,60,1,6.95,451.3995957334867,135.7707623941084,315.88508075970657,112.68653142621662,23191.870332638427,4403.777685956963,4686.812628428622,196.62620670407088
50,50000,6,72,1,5.222222222222222,388.7902787236704,162.4452259501196,296.94840083622785,112.94521987350726,15984.860998388005,4134.266285053425,3362.0956377483944,149.81572209788868
50,50000,8,90,1,2.988888888888889,325.68830800604724,166.69206877129452,250.74748379469497,125.8033189948282,8202.849842603906,3692.8528258300626,1649.1062723331283,87.06444924912759
50,50000,10,67,1,2.2388059701492535,279.60791119728316,160.23830352207597,219.35058962683428,116.6452375767035,5299.40978139869,3298.846610395193,1037.8986358811042,63.916815826565276
100,50000,2,24,1,25.083333333333332,359.7415772803857,74.24987924955339,287.23316160539156,75.44264010011852,52987.05435259087,3254.935923974543,13497.386718002992,693.8434209194573
100,50000,3,36,1,22.055555555555557,356.2157810100582,82.73179240716887,306.6123271131483,78.25391074389778,44052.51284734905,3292.1068006292035,12225.83418303324,623.0487404000806
100,50000,4,48,1,15.083333333333334,378.52684057282204,89.43855140990233,313.76082176480355,79.44837431597183,29547.093730862875,3509.7404398704325,8175.384091202696,422.35832778910344
100,50000,5,60,1,10.75,390.40651218334,96.87251417724809,299.8830668304104,80.32815646596019,20343.559951647974,3654.5926977044114,5644.9607926870785,301.64845602043687
100,50000,6,72,1,7.708333333333333,396.6143671175711,104.98734487367528,277.39960695095874,80.85808949189898,15514.653162913972,3762.012839934347,3911.5186241947554,217.51713366995762
100,50000,8,96,1,4.59375,324.57360995174116,119.44547392323254,233.54875326696143,94.65155265772857,9177.322014987209,3330.1431290623027,2273.2251121006734,130.38218034335213
100,50000,10,115,1,2.860869565217391,267.193417481133,129.2727881662471,202.1284448279041,109.08884209378034,5731.363766727231,2973.4965423553504,1327.5977497466288,79.63223559782818
200,50000,2,24,1,36.875,374.86061636565313,55.516870931345146,274.9999420665753,50.93949658316845,39972.54445908999,3227.8311547274875,13558.463648435058,1017.4693889309991
200,50000,3,36,1,32.94444444444444,338.70309025267375,61.66797492491181,298.3474362858015,53.18900965324267,34832.0943879007,3002.7829888318925,12560.969103939467,917.7103750876548
200,50000,4,48,1,22.333333333333332,352.50256323519505,66.25757823156162,294.7952666937925,54.35120002897613,25501.366642609584,3140.701061000675,8587.313653770834,637.1647977096167
200,50000,5,60,1,16.45,348.49669753779216,70.79256531747122,269.482301125963,54.61496822250355,18235.383223474855,3144.6694714144755,6231.125527605825,462.4683446969492
200,50000,6,72,1,12.347222222222221,331.340170134178,74.92495415359998,250.48992103027064,56.78384158967604,13355.29619264484,3046.9884321583345,4716.654344736992,346.26851728514566
200,50000,8,96,1,7.666666666666667,291.9621959109732,83.70606067859332,218.26860531829993,60.81573417105787,8089.161101397542,2817.5119244217494,2886.555727014563,217.14820516999262
200,50000,10,120,1,4.933333333333334,258.6422169201568,92.74105395498472,193.70050547386208,70.53074348412967,5596.793796875756,2635.3745315635615,1882.8975454943395,138.35519862089285
