M,K,n_seeds,instances,routing_mean,routing_std,penalty_mean,penalty_std,penalty_pct,makespan_mean,final_mean,final_std,conflicts_left,final_seed0,final_seed1,final_seed2
50,1,3,30,-45.217062327067055,0.5499844140214811,0.0,0.0,0.0,0.0,-45.217062327067055,0.5499844140214811,0,-44.875,-44.925,-45.851
50,2,3,30,-89.93838663736979,0.7128996168837665,1.6388321255226137,0.16047906592359015,1.8221720299813249,1.7626666666666662,-88.29955451184718,0.803685436355047,0,-88.284,-87.504,-89.111
50,3,3,30,-118.58523461235893,2.5642496192303126,3.559339729116651,0.3328653638938649,3.001503299084166,3.943555555555554,-115.02589488324229,2.252584372884326,0,-115.854,-116.747,-112.476
50,4,3,30,-133.48269379679363,6.279767482837743,4.7109551274216965,0.33768939284494565,3.529262853050736,5.981066666666667,-128.77173866937196,5.950789044756615,0,-134.112,-122.357,-129.846
50,5,3,30,-133.57771448092993,0.8861800647535893,5.596807781545427,0.18484045555769282,4.189926293689093,7.503644444444446,-127.98090669938445,1.0088693079205457,0,-127.116,-127.738,-129.089
50,6,3,30,-126.86897188144258,2.1822999973360644,6.124808877248287,0.08697180094464856,4.827664941568094,9.38953333333333,-120.74416300419432,2.222334853820353,0,-122.435,-118.227,-121.570
50,8,3,30,-98.68199937862819,0.6381035973482185,7.090647300808217,0.16266262799667414,7.185350261907905,13.258133333333333,-91.59135207781999,0.8007651840873881,0,-91.932,-92.166,-90.677
60,1,3,30,-53.85024108547635,2.298130974369264,0.0,0.0,0.0,0.0,-53.85024108547635,2.298130974369264,0,-51.247,-54.706,-55.598
60,2,3,30,-98.80774677870009,3.3246013428968375,2.323485440564473,0.4513207189923192,2.351521531776641,2.067666666666666,-96.48426133813562,3.7471415064302036,0,-97.938,-92.228,-99.286
60,3,3,30,-133.3445332370334,2.0720210221395363,4.037289560376485,0.15972502532448674,3.0277128445901824,3.963544444444443,-129.30724367665692,1.9361040517474364,0,-131.324,-129.135,-127.463
60,4,3,30,-147.34419693332248,3.53564409834478,5.4095908133191,0.11166220751498082,3.671397262945548,5.784388888888889,-141.9346061200034,3.572111780077068,0,-143.149,-137.914,-144.741
60,5,3,30,-148.27380875651042,3.1356171458666853,6.706779875501634,0.36036939352434444,4.523239762806155,7.416933333333334,-141.56702888100878,2.778100575539506,0,-144.404,-138.852,-141.445
60,6,3,30,-142.50244799465602,1.036798552731715,7.358525545623778,0.10963056428070224,5.163788867612808,9.922588888888887,-135.14392244903226,1.1020746951788158,0,-134.818,-134.242,-136.372
60,8,3,30,-121.8402850121392,3.0917598763889336,8.122114631530708,0.19148913855551145,6.666197990854573,16.52512222222222,-113.71817038060851,3.2546364865921418,0,-109.967,-115.786,-115.402
80,1,3,30,-61.904703345404734,1.3799564200624035,0.0,0.0,0.0,0.0,-61.904703345404734,1.3799564200624035,0,-63.248,-61.975,-60.491
80,2,3,30,-108.54532449679904,5.616083139960837,2.889141653518253,0.2869378902485021,2.661691479492009,2.1443333333333325,-105.6561828432808,5.429163217672013,0,-104.531,-100.878,-111.560
80,3,3,30,-157.56315387641055,2.3227888830230037,5.359373100708855,0.2293379744470708,3.401412683648515,3.8951777777777763,-152.20378077570174,2.2887969767165135,0,-150.057,-154.612,-151.942
80,4,3,30,-178.45564567057292,2.0581230181933288,6.978645903713651,0.07168635832891797,3.910577262764862,5.651066666666668,-171.47699976685928,1.9952870051181373,0,-170.383,-170.268,-173.780
80,5,3,30,-179.73239126586915,0.6688655164384036,8.272789506049792,0.14113669408509472,4.60283727812438,7.361966666666667,-171.45960175981938,0.7503188473670316,0,-171.279,-172.284,-170.816
80,6,3,30,-173.21847280205623,0.8699693482227924,9.225421472819649,0.0665234208859245,5.325887778356014,9.591055555555554,-163.99305132923652,0.9312704597023755,0,-163.108,-164.964,-163.907
80,8,3,30,-143.76360429551866,0.6178146856136578,9.603311751863375,0.12183697140835778,6.679932517637028,14.283622222222219,-134.1602925436553,0.5268196207518842,0,-133.955,-133.767,-134.759
100,1,3,30,-69.3100795050727,1.2320750703363634,0.0,0.0,0.0,0.0,-69.3100795050727,1.2320750703363634,0,-70.713,-68.811,-68.406
100,2,3,30,-120.46258124457465,2.8667391232509245,3.2262689745695323,0.5656810513492551,2.678233308000642,1.8576666666666657,-117.23631227000512,2.8417589281907487,0,-114.283,-119.951,-117.475
100,3,3,30,-183.4657501085069,2.129791458833414,6.388986446286519,0.3539455869868542,3.482386463145241,3.995211111111111,-177.07676366222043,2.10810436778005,0,-174.692,-178.691,-177.848
100,4,3,30,-207.1394402804904,2.3631292146091245,8.585866491392347,0.12647991715152684,4.144969436900141,5.5645444444444445,-198.55357378909812,2.244182764304343,0,-196.135,-198.956,-200.569
100,5,3,30,-207.53608622911244,1.053805241773756,10.330150050602805,0.025897119222393083,4.977519928364982,7.4786,-197.20593617850957,1.0334679310971193,0,-196.745,-196.483,-198.390
