M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
400,100000,4,25000.0,180.5,3.202,216.739,0.8328,-596.776,4
400,100000,5,20000.0,224.75,2.586,214.807,1.0463,-734.595,4
400,100000,6,16666.7,231.25,7.259,212.874,1.0863,-846.505,4
400,100000,7,14285.7,205.5,15.075,210.941,0.9742,-882.38,4
400,100000,8,12500.0,178.25,13.255,209.009,0.8528,-880.788,4
400,100000,9,11111.1,168.75,10.779,207.076,0.8149,-869.013,4
400,100000,10,10000.0,150.75,10.871,205.143,0.7349,-836.414,4
400,100000,12,8333.3,131.5,6.344,201.278,0.6533,-770.711,4
