Emax,M,K,planner,J_mean,J_std,P_bar,Ts_over_tc,Ts_over_tc_pred,mean_n_visited,throughput_margin,Trev_over_tau_e,catch_rate,empty_sorties,truncated_pct,instances,iters
6000000.0,100,13,sa,675256.940339966,111901.63330104869,302.26180918242204,2.4123292589537035,1.9962515527536133,22.82633359650652,0.02192746259872841,0.10065579244485133,0.8242442720201791,0,2.4100475220638153,12,1500
6000000.0,100,14,sa,651917.1799697462,154003.70685812546,302.10843018127736,2.2498560248473773,1.9965044113798374,20.419965042775257,0.02068145969820046,0.09720382393648053,0.819644866607465,0,2.3083752589523527,12,1500
6000000.0,100,15,sa,607770.3298067632,137767.8754542488,301.99887946797895,2.1078663858470716,1.9966851296712793,18.94683668272488,0.01956618324955663,0.0934674809238868,0.8355475162973488,0,2.059732234809475,12,1500
6000000.0,100,16,sa,599132.9349793649,127757.49635441093,301.9109942696731,1.9778828623684594,1.9968301939034696,17.639167263178727,0.018649449092610026,0.08715329850324481,0.8337486146754762,0,2.028721221791657,12,1500
6000000.0,100,17,sa,598057.0261091351,146294.3415726764,301.83485537179166,1.86463042971414,1.996955924163558,16.380413554478757,0.0178595399262901,0.08328565524505792,0.8442413227868188,0,1.444851444851445,12,1500
6000000.0,100,18,sa,648768.8044166309,183769.5614756575,301.76090812960445,1.759266115626251,1.9970780733885567,14.603086040739774,0.01732062494930745,0.08427199141469377,0.8356220525520003,0,1.3713460844460483,12,1500
6000000.0,200,13,sa,2563680.6438152115,633916.7505250626,304.51643395287084,2.3495207897698545,1.9925568210260132,26.379630962923354,0.04351878437051097,0.17078756636087453,0.7173216287876434,0,3.5534696614146832,12,1500
6000000.0,200,14,sa,2123014.1823100704,470650.2110080263,304.2104975922672,2.2073338454577773,1.9930557236670172,25.018462840092795,0.04077938138508519,0.15541471130693368,0.7402722946494599,0,4.057971014492754,12,1500
6000000.0,200,15,sa,2190596.2287947033,596359.773533919,303.9652401192803,2.0555079304491914,1.993456302632288,23.02904637590757,0.038611968921640503,0.1506318855445884,0.7425166746513688,0,3.0609663546673413,12,1500
6000000.0,200,16,sa,2419957.947704285,934074.837894593,303.7905242170595,1.9295090951772258,1.993741884969576,20.582195892989194,0.03696724923890609,0.1456396442698661,0.7381231876776347,0,3.198389622008499,12,1500
6000000.0,200,17,sa,2323724.149887083,783349.0860068613,303.58908803869195,1.8213936727608144,1.9940715149247603,19.380648760538225,0.035441586795490386,0.1362392142934197,0.7460947321900755,0,2.6711515631183222,12,1500
6000000.0,200,18,sa,2494109.368295407,707897.5315396416,303.49146148486363,1.7238518691193303,1.9942314709416182,17.303699737609183,0.034426126775340044,0.1398100994170203,0.7385951054281366,0,2.6863547411492616,12,1500
