M,K,Ee,greedy,SA_base,SA_repair2,base_frozen,repair_frozen,repair_gain_pct,rep_attempted,rep_feasible,rep_accepted,instances,iters,sec
200,3,16666.7,-312.3315,-312.3315,-318.9877,8,2,2.131,33388,12149,3640,8,6000,2276.9
200,4,12500.0,-350.4542,-350.4542,-360.3055,8,4,2.811,33409,8247,2975,8,6000,926.4
200,5,10000.0,-346.6816,-346.6816,-352.8878,8,5,1.79,33678,6343,2498,8,6000,585.6
200,6,8333.3,-320.2671,-320.2671,-335.5578,8,2,4.774,33423,4788,2083,8,6000,472.1
