M,Emax,K,N_meas,obj,is_kstar,coverage_frac,peak_coverage_frac,K_law,grid,instance_seed,solver,source_dir
50,100000,7,49.42,-195.34,0,0.9884,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,8,49.08,-201.02,0,0.9816,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,9,48.17,-202.52,1,0.9634,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,10,45.58,-198.64,0,0.9116,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,11,42.42,-192.09,0,0.8484,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,12,39.58,-184.00,0,0.7916,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,13,37.58,-174.54,0,0.7516,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
50,100000,14,33.50,-158.78,0,0.6700,0.9950,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,4,81.33,-266.56,0,0.8133,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,5,92.08,-303.51,0,0.9208,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,6,94.33,-335.76,0,0.9433,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,7,92.75,-355.22,0,0.9275,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,8,87.08,-360.15,1,0.8708,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,9,82.00,-359.72,0,0.8200,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,10,76.67,-350.57,0,0.7667,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,11,71.17,-337.34,0,0.7117,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,12,65.67,-320.23,0,0.6567,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,13,60.25,-299.10,0,0.6025,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
100,100000,14,57.58,-284.94,0,0.5758,0.9433,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,4,123.17,-410.56,0,0.6159,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,5,147.92,-485.34,0,0.7396,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,6,155.83,-542.98,0,0.7792,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,7,148.42,-578.38,0,0.7421,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,8,132.92,-578.39,1,0.6646,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,9,121.50,-572.89,0,0.6075,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,10,111.75,-557.32,0,0.5587,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,11,105.67,-543.66,0,0.5283,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,12,96.92,-511.36,0,0.4846,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,13,94.08,-486.53,0,0.4704,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
200,100000,14,89.58,-461.89,0,0.4479,0.7792,8,12/2000/2,2025,SA,fleet_coverage_b100k
