layout,M,Emax,K,seed,coord,replan,q,belief,tau,Th,J,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
paper,100,1500000.0,4,9,exclude,per_leg_sa,0.0,prior,0.0,43200,897974.9522676355,570119.1326933356,327855.81957429985,2388,0,0.0,0,4.740333835912077,8.03081366348137,8104.8909320055,2473.878309264432,3.276188202812352,2.013363121106157,308.0714445654038,0.03095632946379215,0.0,0.0,2.022401812432315,13.365671641791044,0.7275784753363229,1858.565118796363,134,118.34752798080444
paper,100,1500000.0,4,1,exclude,per_leg_sa,0.0,prior,0.0,43200,783911.3321916558,522938.1299256525,260973.20226600324,2465,0,0.0,0,4.704263543576533,7.864186673519872,8169.591647266075,2525.5104605217007,3.234827879342247,2.013988590007238,308.45185819946005,0.03160149973219068,0.0,0.0,2.0201175008129786,13.781954887218046,0.7554824561403509,1802.995812139667,133,120.70877647399902
paper,100,1500000.0,4,5,exclude,per_leg_sa,0.0,prior,0.0,43200,803340.479760383,535207.0635859699,268133.4161744131,2540,0,0.0,0,4.716895252054816,9.077147994065243,8146.821061143593,2188.7810836054914,3.7220812634782376,2.0132988635111984,308.0323760379259,0.04659685863874346,0.0,0.0,2.0209475996328345,14.007407407407408,0.7358288770053476,1761.7350059692833,135,122.75645470619202
paper,100,1500000.0,4,6,exclude,per_leg_sa,0.0,prior,0.0,43200,799095.7865317448,519619.12750173965,279476.6590300051,2637,0,0.0,0,4.756459715300161,8.277285648961142,8076.28272445257,2399.2145624480145,3.366219449840291,2.014201706550333,308.5815304708822,0.02472250252270434,0.0,0.0,2.020632879788773,14.64179104477612,0.7341227125941873,1695.7768327493582,134,127.33137798309326
paper,100,1500000.0,4,12,exclude,per_leg_sa,0.0,prior,0.0,43200,833734.6503809413,557797.8710757559,275936.77930518537,2673,0,0.0,0,4.442264204156416,11.716692487566789,8671.083820102498,1696.7079613273793,5.110534056384624,2.012092128001932,307.2991426690438,0.052788844621513946,0.0,0.0,2.0220755038875713,14.843283582089553,0.7644444444444445,1676.8310697488514,134,127.93361830711365
paper,100,1500000.0,4,11,exclude,per_leg_sa,0.0,prior,0.0,43200,730430.7357833522,496378.98495681724,234051.750826535,2747,0,0.0,0,4.559053205441548,15.589886765321632,8440.41818863996,1275.1124799279794,6.619351877974474,2.0121879051314906,307.35730658834274,0.06246949731576379,0.0,0.0,2.0254015043066156,15.14179104477612,0.7610132158590308,1642.0385965967096,134,129.8364224433899
paper,100,1500000.0,4,7,exclude,per_leg_sa,0.0,prior,0.0,43200,753356.8735698476,510270.06399199576,243086.80957785176,2783,0,0.0,0,5.218509503934779,10.890844305059158,7331.690553245741,1824.244954170231,4.01902745378874,2.0133314989911506,308.05221805429545,0.0548604427333975,0.0,0.0,2.020819579804201,15.365671641791044,0.7610993657505285,1613.463369164815,134,130.83355736732483
paper,100,1500000.0,4,4,exclude,per_leg_sa,0.0,prior,0.0,43200,849876.4376195747,551364.8629010475,298511.57471852726,2843,0,0.0,0,4.769804670462605,13.479921279042353,8052.7543083059945,1474.6931338631252,5.460630502300432,2.0121992238861037,307.36418065068915,0.0764872521246459,0.0,0.0,2.0222668719003036,15.671641791044776,0.7699481865284974,1582.0208678972804,134,131.3596863746643
paper,100,1500000.0,4,10,exclude,per_leg_sa,0.0,prior,0.0,43200,786289.2524833678,524340.9409284138,261948.31155495404,2785,0,0.0,0,5.240538724622278,10.099280541693469,7299.469724120093,1967.6008553835559,3.7098325629143747,2.012947982675806,307.8190846820956,0.03712517848643503,0.0,0.0,2.0230379599091437,15.507462686567164,0.7413419913419913,1602.2565944768405,134,133.22651147842407
paper,100,1500000.0,4,8,exclude,per_leg_sa,0.0,prior,0.0,43200,736139.8298030265,495315.8651652009,240823.9646378256,2866,0,0.0,0,4.788543228013972,17.491759380166283,8019.937817272908,1136.6915579534766,7.055509263843019,2.0117956385282936,307.119124243463,0.06412639405204461,0.0,0.0,2.026925145877472,15.93984962406015,0.776608187134503,1565.9555937865027,133,136.50310134887695
paper,100,1500000.0,4,2,exclude,per_leg_sa,0.0,prior,0.0,43200,766350.7966296031,523870.6866481001,242480.10998150302,2862,0,0.0,0,4.539162858794823,11.727947105453186,8478.86425558954,1694.7868594094675,5.002908895897341,2.0124398322062214,307.5103241513286,0.05329593267882188,0.0,0.0,2.02374902613075,15.93984962406015,0.7699890470974808,1560.8288504208087,133,138.43210864067078
paper,100,1500000.0,4,3,exclude,per_leg_sa,0.0,prior,0.0,43200,715777.2790235099,485721.02311848215,230056.25590502773,2883,0,0.0,0,5.054127002413989,11.91994875051338,7580.990936890765,1667.7397552787963,4.545667819511474,2.0121359553392635,307.3257576271572,0.053694355208811384,0.0,0.0,2.0218675500631735,16.2406015037594,0.755939524838013,1533.458934465342,133,141.0784833431244
paper,100,1500000.0,4,1,exclude,per_leg_sa,0.0,kernel,0.0,43200,767113.2287640502,539934.4251681373,227178.80359591293,2398,0,0.0,0,4.704263543576533,7.998240993968836,8169.591647266075,2483.2369862777264,3.2898960882150714,2.013943754939727,308.4245814543819,0.03829078801331853,0.0,0.0,2.016402864224722,13.335820895522389,0.7628415300546448,1853.158044590782,134,68.4128520488739
paper,100,1500000.0,4,9,exclude,per_leg_sa,0.0,kernel,0.0,43200,869040.2770414747,578919.0448617844,290121.2321796902,2327,0,0.0,0,4.740333835912077,7.933807548863796,8104.8909320055,2503.962791775482,3.236825626413791,2.013494551278997,308.15136164166444,0.03128555176336746,0.0,0.0,2.0236748810770306,12.985074626865671,0.7513873473917869,1915.4654663549452,134,68.97063326835632
paper,100,1500000.0,4,12,exclude,per_leg_sa,0.0,kernel,0.0,43200,845321.6996830441,572410.6830994766,272911.01658356754,2551,0,0.0,0,4.442264204156416,10.253219525917217,8671.083820102498,1938.4197652788725,4.473274558699635,2.0125742229374857,307.59196708723596,0.04744525547445255,0.0,0.0,2.027839854554082,14.225563909774436,0.7830923248053393,1755.0394918717966,133,72.63831186294556
