layout,M,Emax,K,seed,coord,replan,divert,q,belief,tau,planner,L,Th,J,n_diverts,J_age,J_event,n_replans,n_never,share_never,n_reach_inf,K_reach_i,K_commute_i,r_max,r_c,rmax_over_rc,regime_bnd,P_bar,dup_frac,trunc_frac,empty_frac,T_s_over_t_c,mean_n,catch_rate,T_rev,n_sorties,secs
ring,40,1500000.0,3,3,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,195874.4802546225,0,170264.02991273132,25610.45034189117,0,0,0.0,0,4.847367316723177,2.993407340220576,7918.568655195983,6642.874433176785,1.1920394905626917,2.0115837969793766,306.99053349336367,0.0,0.0,0.0,2.6825168956644365,12.131578947368421,0.898876404494382,1455.389255582454,76,269.96400713920593
ring,40,1500000.0,3,1,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,176981.94729828832,0,159103.95971561098,17877.987582677328,0,0,0.0,0,4.812702472147914,3.021624301081921,7978.005302596919,6585.606745096861,1.2114305653821087,2.010128092875388,306.10762920482074,0.0,0.0,0.0,2.675952970905691,12.133333333333333,0.9746835443037974,1424.7177752400744,75,284.37409234046936
ring,40,1500000.0,3,4,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,214311.24395176617,0,188893.991545061,25417.25240670515,0,0,0.0,0,4.854711955654448,2.971944908793173,7906.084445801975,6688.9653977687785,1.1819592381864,2.012149695994766,307.33410213068885,0.0,0.0,0.0,2.686505007040328,11.6,0.9629629629629629,1491.4126610691842,75,379.3276448249817
ring,40,1500000.0,4,4,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,219779.04609450308,0,195383.33396238237,24395.71213212071,0,0,0.0,0,4.854711955654448,2.941109042534738,7906.084445801975,6751.628487732288,1.170989259875204,2.0143750236227005,308.6870065648663,0.0,0.0,0.0,2.014756604880693,6.30827067669173,0.9629629629629629,1569.5253024942178,133,439.19072699546814
ring,40,1500000.0,4,3,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,193440.01305299115,0,173810.43053365743,19629.58251933371,0,0,0.0,0,4.847367316723177,2.9289266072825852,7918.568655195983,6780.51009889773,1.1678426165139495,2.014137590302114,308.5425156191336,0.0,0.0,0.0,2.0106341748524152,6.81203007518797,0.8850574712643678,1457.616311182169,133,485.6815412044525
ring,40,1500000.0,4,1,exclude,launch,0,0.0,prior,0.0,cpsat_d45,12600.0,43200,183685.94667384485,0,163351.68063693395,20334.266036910914,0,0,0.0,0,4.812702472147914,2.9758731140012062,7978.005302596919,6679.945699500742,1.1943218794717438,2.012206972088488,307.36888630336347,0.0,0.0,0.0,1.9992753372762913,6.7819548872180455,0.9620253164556962,1450.31535442328,133,502.3139944076538
