layout,M,Emax,L,seed,argmin,rc_meas,rc_oracle_n,rc_exante,n_meas,n_exante,Pb_meas,Pb_exante,rule_meas,rule_oracle_n,rule_exante,rule_fixedpoint,reg_meas,reg_exante,reg_fixedpoint,ratio_meas,ratio_exante,bnd_exante,bnd_meas
core,50,1500000.0,12600.0,1,4,958.151261350042,335.4015551687489,291.831616176622,31.72222222222222,85.32232662523411,306.2212030718701,305.8828495233834,4,4,4,4,0.0,0.0,0.0,8.368815261336918,27.476772406326415,2.009757148234801,2.010315467353094
core,50,1500000.0,12600.0,2,4,766.248799116278,341.30548197703365,297.2702635063409,31.714285714285715,84.24754596740264,306.7813147942592,306.5857761711577,4,4,4,4,0.0,0.0,0.0,10.46473535476123,26.974076734333064,2.0109167063795077,2.0112390333880166
core,50,1500000.0,12600.0,3,6,1045.5404914713613,310.96653323744226,258.98974314537156,30.675675675675677,97.94630203997507,306.2373614101829,305.9991462843493,5,5,5,5,0.23578460391102918,0.23578460391102918,0.23578460391102918,6.265124008486377,25.292278973708598,2.0099490849944686,2.010342122600364
core,50,1500000.0,12600.0,4,5,1092.3603697854828,327.06044917163086,298.6833916531178,30.16216216216216,79.03778267795823,306.6388834338479,306.2218552170496,5,5,5,5,0.0,0.0,0.0,6.659073419032172,24.35390820421177,2.010316543163659,2.0110042588664796
core,50,1500000.0,12600.0,5,5,965.2392368643957,314.8686486229214,292.954144924002,32.25714285714286,84.45777210541229,306.393005315539,306.1720244339802,5,5,5,5,0.0,0.0,0.0,7.138759733308523,23.521124778502635,2.0102343365674784,2.0105988411424502
core,50,1500000.0,12600.0,6,5,990.4454209627879,390.49670126338873,353.1461293766428,31.37142857142857,85.35653511982636,306.8493845975149,306.5334212093995,4,4,4,4,0.2696489679798888,0.2696489679798888,0.2696489679798888,7.743629357190628,21.718041344529446,2.010830386710846,2.0113512159441527
core,50,1500000.0,12600.0,7,6,914.8785783933699,309.26331342277257,298.7624394186845,33.484848484848484,90.57665126279707,306.62878270136343,306.4272211908759,5,5,5,5,0.1986681638274741,0.1986681638274741,0.1986681638274741,7.197511627978664,22.040418531149054,2.010655267950577,2.010987607410634
core,50,1500000.0,12600.0,8,5,1159.48161242073,421.33811828976303,394.3781452418248,32.583333333333336,89.34657972252981,306.4955862560738,306.1527793516729,5,5,5,5,0.0,0.0,0.0,5.954792280572065,17.507238264621712,2.010202585873535,2.0107680021582164
core,50,1500000.0,12600.0,9,5,1295.1144718551486,536.3633317842091,508.6450765772665,30.135135135135137,88.6627875929419,306.80176178222393,306.36720816234026,5,5,5,5,0.0,0.0,0.0,5.629420652388778,14.333657182193226,2.0105562959122074,2.01127273238928
core,50,1500000.0,12600.0,10,6,868.0488607555742,385.11851996408126,320.61070341953496,31.235294117647058,88.75302984069377,306.6365940917903,306.4203483943689,5,5,5,5,0.2137071854624759,0.2137071854624759,0.2137071854624759,7.625176465192534,20.64505543038366,2.0106439339918696,2.011000484819848
core,50,1500000.0,12600.0,11,4,1039.3341836812788,387.37343880423003,333.68912426083455,32.8,84.39826719826986,306.229635209797,305.98124352863215,4,4,4,4,0.0,0.0,0.0,7.7151228397529765,24.030123596079694,2.009919540571809,2.010329377331632
core,50,1500000.0,12600.0,12,5,848.7806838291671,287.26373482647296,261.972437642711,31.97222222222222,87.75801800879118,306.82085033735154,306.57568039062,5,5,5,5,0.0,0.0,0.0,8.221595074757742,26.637653764312144,2.010900061645759,2.011304191522596
core,50,3000000.0,12600.0,1,9,1217.9016039778223,423.9782100596032,291.5016461130157,16.515463917525775,88.8452770992228,303.22663904411763,302.94095427752006,9,9,9,9,0.0,0.0,0.0,6.583939845768907,27.50787518896764,2.004889636191491,2.0053633489840337
core,50,3000000.0,12600.0,2,9,1409.4321754468333,423.5064468686619,296.0910411953535,14.172413793103448,88.17039612407204,303.7794546365252,303.2921517493956,9,9,9,9,0.0,0.0,0.0,5.689235025526013,27.081504615213877,2.0054719484722847,2.0062793757807773
core,50,3000000.0,12600.0,3,12,1206.6680918852471,448.3030142419469,261.81306801136606,12.43030303030303,82.03224757239235,302.81965519825917,302.40767959113356,11,11,11,11,0.0791997303633265,0.0791997303633265,0.0791997303633265,5.428535716667323,25.019533534810027,2.0040047801863854,2.004688434620835
core,50,3000000.0,12600.0,4,10,1278.232467757446,426.49691164534323,300.5654213321699,12.748344370860927,66.2900457470011,302.94742989103077,302.49812726800906,10,10,10,10,0.0,0.0,0.0,5.690755074626204,24.20141302416715,2.0041549137923704,2.0049003763077393
