M,fit_Emax,a,e_min,a_over_sqrtM,r_cap,c1_plateau,e_star,e_star_nominal_c1,Kstar_E25000,Kstar_E50000,Kstar_E100000
50,50000,0.0010130000000000004,3529.121421520235,0.00014325983386839457,17.25,0.16405797101449276,12120.346565551443,15122.915399680809,2.063,4.125,8.251
100,50000,0.0015410000000000003,3950.3569110966882,0.00015410000000000003,25.333,0.11171199621047646,12431.200883539035,12952.336152507261,2.011,4.022,8.044
200,50000,0.0022402499999999996,4229.438678718891,0.00015840959665531628,33.833,0.08364614429698815,12302.600666488575,11284.421704692964,2.032,4.064,8.128
