Emax,M,K,planner,J_mean,J_std,P_bar,Ts_over_tc,Ts_over_tc_pred,mean_n_visited,throughput_margin,Trev_over_tau_e,catch_rate,empty_sorties,truncated_pct,e_star_measured,e_star_pred,e_star_over_usable,kstar_pred,instances,iters,L,T_horizon,T_burnin,meta_seed,tag,commit,branch,dirty,sha_dyn_env,sha_sa_sortie,sha_dyn_c4_grid
1500000.0,50,3,sa,688983.8545534873,113320.09443300008,304.84395751209064,2.640421526724471,1.9920234991320473,18.057242465137204,0.04741002995301277,0.30316427048379024,0.7302766713916218,0,8.823529411764707,382803.6129210449,290408.48809080623,0.9570090323026124,4.132110832327054,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,50,4,sa,575452.4975155876,95961.00285760315,303.8570845614007,1.986714525753048,1.9936331434537486,13.093240903326503,0.037903537105370415,0.23095393959781643,0.7515311401427237,0,5.46448087431694,287138.0520218188,290172.3207275918,0.9571268400727293,4.135473897153568,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,50,5,sa,615964.197304304,135801.20980286848,303.34595957866117,1.5946983568996875,1.9944699982597165,9.854448479641635,0.032904401836803814,0.19863708943706634,0.7598891785920182,3,3.8370720188902006,229241.48738949138,290049.8485992595,0.9551728641228805,4.13722014504856,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,50,6,sa,908256.5530680009,212429.36833205065,303.0449653256848,1.32733979887138,1.9949640195793217,7.4002971367393116,0.03119399135148231,0.18697488153361005,0.7280641470892356,18,2.8075970272502064,189877.39247796906,289977.6675560437,0.9493869623898452,4.13825016961725,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,100,3,sa,2363047.399313466,359607.2506638541,309.3835408735897,2.5655796268389106,1.9847189574986899,22.052457188970347,0.0940480660166208,0.4866994149663415,0.6121060995543258,0,11.89358372456964,375233.9012784385,291489.9439813751,0.9380847531960964,4.116780537608477,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,100,4,sa,2394084.954100349,626352.4651458068,307.33423780389455,1.9099664783013683,1.9879966249818468,15.994326502294095,0.07502497497460804,0.36411583929218105,0.6203560757528651,0,6.921029281277728,276824.1366662431,291002.7209976584,0.9227471222208101,4.1236732717139075,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,100,5,sa,2547479.7816289575,777811.7138624655,306.2428685574301,1.5406079931688819,1.9897558516858982,11.552258010403053,0.06594135282471024,0.32860813914279086,0.6237372064521514,6,5.953757225433526,220855.55540508253,290742.57091913844,0.9202314808545107,4.127363262326479,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,100,6,sa,3596130.331599821,1028265.7717335051,305.4670521194582,1.2902337945694,1.991011667123858,8.553609075005818,0.06254154051691914,0.31085605087549156,0.582416471006471,4,4.314516129032258,184642.5775785444,290557.38120281073,0.923212887892722,4.129993693363621,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,200,3,sa,8415958.823366052,1838843.9546663126,316.7175561764204,2.4899393240329926,1.9732520664649156,23.965383498615207,0.18670470009873044,0.8567162000902284,0.44190634570374215,0,18.740399385560675,366684.59692911943,293220.4524335126,0.9167114923227987,4.092485217617613,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,200,4,sa,7433348.129033279,799421.004757075,313.4497600015848,1.8869974499445423,1.9783134448515616,17.542548345629335,0.14854642094370404,0.6556729110892922,0.48088003051645706,0,12.017543859649123,273610.7366201797,292451.8049403692,0.9120357887339324,4.103242388999232,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,200,5,sa,8669871.494784215,1824716.0244403605,310.83037537982415,1.5195111981570015,1.9824285339087815,12.50178692998206,0.13334582002155002,0.5989132118874438,0.4705100858697964,0,8.290743895513913,218025.2079870773,291832.7535095996,0.9084383666128221,4.111947526029609,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,200,6,sa,10605539.653823039,2422578.204997496,309.37833562960384,1.277173545014348,1.9847300058411632,9.313694532193953,0.12430874448668174,0.5687105994743157,0.4464906324735305,4,6.032760687175389,181524.50936028946,291488.5709876345,0.9076225468014472,4.116801885021709,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
1500000.0,400,3,sa,29082006.146787982,2002347.8975127835,326.3041103471975,2.4058875595269855,1.958853193988066,25.47116724738676,0.3788552638300016,1.5651394038730755,0.28951250948811125,0,21.34328358208955,356124.42775683064,295452.36864196585,0.8903110693920767,4.061572877206689,12,2000,12600.0,21600.0,5400.0,2025,,6dbf812,wip-this-pc,True,d88e7688,5d726345,ed376de9
