Emax,M,K,planner,J_mean,J_std,P_bar,Ts_over_tc,Ts_over_tc_pred,mean_n_visited,throughput_margin,Trev_over_tau_e,catch_rate,empty_sorties,truncated_pct,instances,iters
1500000.0,50,3,sa,695483.4645031582,79729.93650485302,304.849569890243,2.6363353188853225,1.9920144072655424,18.011142721669035,0.04746792012147397,0.30379141178608954,0.7179155408582364,0,5.555555555555555,12,1500
1500000.0,50,4,sa,623049.02700193,150521.9791146233,303.86764581281045,1.9829202619706392,1.993615854401419,12.856254046168443,0.03805640117372732,0.23526677086954742,0.7398603739333626,0,4.735883424408015,12,1500
1500000.0,50,5,sa,629500.2535996769,145617.00315828598,303.3641695173702,1.591946197234664,1.9944399792885348,9.591961880460682,0.03308095205223383,0.203462503371471,0.7477218523545491,5,3.5294117647058822,12,1500
1500000.0,50,6,sa,911026.4642387336,273300.82223090186,303.09610373005523,1.3247290714529414,1.9948801875298638,7.189039189935805,0.03182878788251078,0.1926265497977788,0.7245104325607722,11,3.215169002473207,12,1500
1500000.0,100,3,sa,2400574.640396577,438886.3834193036,309.2922670047395,2.561122612114873,1.9848648377226874,21.956251139803772,0.09375582307027952,0.48800845674904125,0.6024166987041303,0,12.616822429906541,12,1500
1500000.0,100,4,sa,2094153.7577537333,532955.9450234496,307.45227950889785,1.9331976561084065,1.9878071085361795,15.999949805734545,0.07508811084825674,0.3689333406030695,0.6377942011370142,0,7.699194270367054,12,1500
1500000.0,100,5,sa,2686399.3083237014,908974.9922222325,306.1462542565082,1.5391538506709368,1.989911641698587,11.290140439482544,0.06583905308338484,0.3336140335720272,0.6134857698155484,2,5.1694428489373925,12,1500
1500000.0,100,6,sa,3578033.419418512,1453606.5725325346,305.4737742859399,1.2940235151226391,1.991001379709598,8.566077008407317,0.06251969091201139,0.3126681380478762,0.5907819852285193,2,3.3413848631239937,12,1500
1500000.0,200,3,sa,8583128.416074531,891371.0170170652,316.80127005415426,2.47375916476034,1.9731249225245255,23.459820831001835,0.1876635333076397,0.8665498602924777,0.4319355566114544,0,17.719568567026194,12,1500
1500000.0,200,4,sa,7375595.099686111,1240202.6790142942,313.4246964963601,1.8954842373447318,1.9783528622002546,17.444980586131166,0.14970533810884093,0.6650492769947155,0.49041400323721146,0,12.35657546337158,12,1500
1500000.0,200,5,sa,8759412.261561768,1718015.8212700223,310.9797639968745,1.5164919720236991,1.9821909602912904,12.430276962976956,0.1343646662725401,0.599273576894833,0.47086418242756595,0,8.479366873940078,12,1500
1500000.0,200,6,sa,11261284.599914096,3208956.4139226526,309.03321852316907,1.270621863328284,1.9852790051256355,9.078153329097587,0.1257305235065898,0.5805249978571589,0.4326849939647133,0,5.363528009535161,12,1500
1500000.0,400,3,sa,29979051.696021166,2285694.8557162317,326.4768918074391,2.4000873404349927,1.9586053452905878,25.178003482069702,0.3816724746663342,1.5607260041759599,0.28559350970604547,0,20.02967359050445,12,1500
1500000.0,400,4,sa,27605014.681667045,3459676.488531974,321.20037674192866,1.8451823211225025,1.966440635665961,18.443308960103806,0.304673452045326,1.2251142752299296,0.321395135757838,0,14.728682170542635,12,1500
1500000.0,400,5,sa,29971284.673914045,3685887.2712283037,316.8649559135941,1.4922292371595327,1.973027540881781,13.434773874027272,0.2699029471974543,1.0895335597892326,0.3194122066583338,0,11.204481792717086,12,1500
1500000.0,400,6,sa,34084131.15753856,5188639.794972529,314.3716781586448,1.2528384946799882,1.9768812300472927,10.035681335586341,0.2519909779460845,1.0315920163305183,0.3030823537827053,0,7.025117739403454,12,1500
