M,Emax,K,Ee,N_meas,N_std,N_pred,eta,obj,instances
50,50000,1,50000.0,17.0,1.915,46.785,0.3634,-60.904,12
50,50000,2,25000.0,31.667,2.809,46.092,0.687,-107.362,12
50,50000,3,16666.7,40.167,3.508,45.398,0.8848,-138.221,12
50,50000,4,12500.0,37.083,3.427,44.705,0.8295,-152.201,12
50,50000,5,10000.0,32.333,2.285,44.012,0.7346,-148.362,12
50,50000,6,8333.3,28.667,1.434,43.319,0.6618,-138.503,12
